m, m_max, m_max_0, ef_construction, ml, select_neighbor_mode, total_time_for_building_graph, total_time_for_query, total_distance_count_for_building_graph, total_distance_count_for_query, recall
15, 35, 15, 15, 0.369269, simple, 915, 20, 5870320, 99952, 0.8284
15, 35, 15, 25, 0.369269, simple, 1103, 19, 6861850, 103566, 0.8652
15, 35, 15, 35, 0.369269, simple, 1255, 20, 7645926, 105340, 0.886
15, 35, 15, 45, 0.369269, simple, 1384, 20, 8484562, 107292, 0.8965
15, 35, 25, 5, 0.369269, simple, 301, 21, 1860875, 106568, 0.7143
15, 35, 25, 15, 0.369269, simple, 1076, 28, 6918975, 143470, 0.9623
15, 35, 25, 25, 0.369269, simple, 1270, 27, 8020660, 143880, 0.9721
15, 35, 25, 35, 0.369269, simple, 1475, 27, 9195912, 146148, 0.9732
15, 35, 25, 45, 0.369269, simple, 1621, 26, 10162235, 146726, 0.9747
15, 35, 35, 5, 0.369269, simple, 325, 22, 1992789, 114472, 0.8085
15, 35, 35, 15, 0.369269, simple, 1140, 32, 7141925, 166728, 0.9797
15, 35, 35, 25, 0.369269, simple, 1385, 30, 8622564, 169960, 0.9654
15, 35, 35, 35, 0.369269, simple, 1590, 30, 9881751, 170956, 0.9849
15, 35, 35, 45, 0.369269, simple, 1828, 32, 11050180, 171404, 0.9852
15, 35, 45, 5, 0.369269, simple, 332, 23, 1979742, 116474, 0.783
15, 35, 45, 15, 0.369269, simple, 1174, 34, 7375194, 184370, 0.9782
15, 35, 45, 25, 0.369269, simple, 1415, 33, 8915649, 185868, 0.9883
15, 35, 45, 35, 0.369269, simple, 1669, 36, 10295582, 186632, 0.9891
15, 35, 45, 45, 0.369269, simple, 1862, 33, 11495353, 188390, 0.9897
15, 45, 5, 5, 0.369269, simple, 226, 7, 1348406, 32470, 0.185
15, 45, 5, 15, 0.369269, simple, 535, 11, 3133677, 49814, 0.3419
15, 45, 5, 25, 0.369269, simple, 625, 11, 3487976, 51112, 0.3453
15, 45, 5, 35, 0.369269, simple, 693, 11, 3972167, 52248, 0.3877
15, 45, 5, 45, 0.369269, simple, 771, 11, 4313348, 53970, 0.3819
15, 45, 15, 5, 0.369269, simple, 307, 18, 1852770, 88676, 0.7185
15, 45, 15, 15, 0.369269, simple, 940, 20, 5978996, 101290, 0.7859
15, 45, 15, 25, 0.369269, simple, 1074, 19, 6885219, 103082, 0.8298
15, 45, 15, 35, 0.369269, simple, 1222, 20, 7787265, 107508, 0.889
15, 45, 15, 45, 0.369269, simple, 1366, 20, 8521560, 107060, 0.8906
15, 45, 25, 5, 0.369269, simple, 330, 20, 1968407, 106792, 0.7837
15, 45, 25, 15, 0.369269, simple, 1061, 26, 6963794, 144444, 0.9571
15, 45, 25, 25, 0.369269, simple, 1284, 26, 8060673, 146754, 0.9505
15, 45, 25, 35, 0.369269, simple, 1483, 27, 9305166, 147804, 0.9744
15, 45, 25, 45, 0.369269, simple, 1637, 26, 10243028, 148968, 0.9658
15, 45, 35, 5, 0.369269, simple, 302, 22, 1868756, 96712, 0.6087
15, 45, 35, 15, 0.369269, simple, 1116, 30, 7270293, 168546, 0.9799
15, 45, 35, 25, 0.369269, simple, 1373, 30, 8714984, 171650, 0.9745
15, 45, 35, 35, 0.369269, simple, 1579, 30, 10029732, 171584, 0.9824
15, 45, 35, 45, 0.369269, simple, 1789, 30, 11212642, 171938, 0.9848
15, 45, 45, 5, 0.369269, simple, 310, 20, 1930838, 102466, 0.6946
