m, m_max, m_max_0, ef_construction, ml, select_neighbor_mode, total_time_for_building_graph, total_time_for_query, total_distance_count_for_building_graph, total_distance_count_for_query, recall
5, 35, 15, 10, 1, simple, 32361, 23, 120323089, 135670, 0.8917, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 20, 10, 1, simple, 31767, 26, 120434196, 153428, 0.9295, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 25, 10, 1, simple, 32433, 29, 120491443, 168350, 0.9504, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 30, 10, 1, simple, 33056, 31, 120522852, 182182, 0.9606, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 35, 10, 1, simple, 34404, 34, 120539875, 194584, 0.9679, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 40, 10, 1, simple, 33216, 36, 120550980, 206178, 0.974, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 45, 10, 1, simple, 34153, 38, 120560401, 216052, 0.9773, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 5, 10, 1, simple, 32244, 14, 119586343, 89528, 0.4489, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 10, 10, 1, simple, 31381, 20, 120107423, 118784, 0.7855, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 15, 10, 1, simple, 31738, 23, 120335827, 141062, 0.8931, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 20, 10, 1, simple, 31680, 25, 120446471, 158876, 0.9315, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 25, 10, 1, simple, 31777, 29, 120504295, 173916, 0.9504, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 30, 10, 1, simple, 31368, 31, 120536270, 187748, 0.9606, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 35, 10, 1, simple, 32671, 32, 120552951, 200150, 0.9679, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 40, 10, 1, simple, 32958, 36, 120564049, 211744, 0.974, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 40, 45, 10, 1, simple, 32803, 38, 120573241, 221618, 0.9773, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
10, 5, 5, 10, 1, simple, 31107, 9, 118882824, 45724, 0.227, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
10, 5, 10, 10, 1, simple, 30130, 15, 119930085, 84222, 0.5136, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
10, 5, 15, 10, 1, simple, 30032, 20, 120506533, 113500, 0.5901, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
10, 5, 20, 10, 1, simple, 30141, 21, 120791823, 135738, 0.6152, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
10, 5, 25, 10, 1, simple, 29466, 25, 120950123, 159126, 0.6877, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
